,Year_x,Period,Avg hrs per day sleeping,Standard Error,Type of Days,Age Group_x,Activity,Gender_x,Unique ID,Age Group_y,Year_y,Gender_y,Number with income (thousands),Mean income,"2022
dollars"
192,2015,Annual,8.68,0.083,All days,35 to 44 years,Sleeping,Female,2015-35 to 44 years-Female,35 to 44 years,2015,Female,17920,42120,50980
193,2016,Annual,8.58,0.064,All days,35 to 44 years,Sleeping,Female,2016-35 to 44 years-Female,35 to 44 years,2016,Female,17860,44600,53520
194,2017,Annual,8.77,0.088,All days,35 to 44 years,Sleeping,Female,2017-35 to 44 years-Female,35 to 44 years,2017,Female,18220,47940,56530
195,2003,Annual,8.26,0.05,All days,45 to 54 years,Sleeping,Female,2003-45 to 54 years-Female,45 to 54 years,2003,Female,19300,32580,49540
196,2004,Annual,8.23,0.059,All days,45 to 54 years,Sleeping,Female,2004-45 to 54 years-Female,45 to 54 years,2004,Female,19590,33190,49230
197,2005,Annual,8.36,0.071,All days,45 to 54 years,Sleeping,Female,2005-45 to 54 years-Female,45 to 54 years,2005,Female,19920,34450,49650
198,2006,Annual,8.4,0.079,All days,45 to 54 years,Sleeping,Female,2006-45 to 54 years-Female,45 to 54 years,2006,Female,20140,36740,51470
199,2007,Annual,8.29,0.072,All days,45 to 54 years,Sleeping,Female,2007-45 to 54 years-Female,45 to 54 years,2007,Female,20240,37650,51420
200,2008,Annual,8.39,0.085,All days,45 to 54 years,Sleeping,Female,2008-45 to 54 years-Female,45 to 54 years,2008,Female,20490,36610,48240
201,2009,Annual,8.42,0.067,All days,45 to 54 years,Sleeping,Female,2009-45 to 54 years-Female,45 to 54 years,2009,Female,20420,37680,49840
202,2010,Annual,8.36,0.074,All days,45 to 54 years,Sleeping,Female,2010-45 to 54 years-Female,45 to 54 years,2010,Female,20290,37410,48820
203,2011,Annual,8.51,0.092,All days,45 to 54 years,Sleeping,Female,2011-45 to 54 years-Female,45 to 54 years,2011,Female,19950,38140,48270
204,2012,Annual,8.46,0.077,All days,45 to 54 years,Sleeping,Female,2012-45 to 54 years-Female,45 to 54 years,2012,Female,19760,39210,48690
205,2013,Annual,8.61,0.071,All days,45 to 54 years,Sleeping,Female,2013-45 to 54 years-Female,45 to 54 years,2013,Female,19820,40960,50250
206,2014,Annual,8.68,0.081,All days,45 to 54 years,Sleeping,Female,2014-45 to 54 years-Female,45 to 54 years,2014,Female,19500,40740,49280
207,2015,Annual,8.49,0.08,All days,45 to 54 years,Sleeping,Female,2015-45 to 54 years-Female,45 to 54 years,2015,Female,19480,43630,52810
208,2016,Annual,8.71,0.112,All days,45 to 54 years,Sleeping,Female,2016-45 to 54 years-Female,45 to 54 years,2016,Female,19170,45960,55140
209,2017,Annual,8.52,0.098,All days,45 to 54 years,Sleeping,Female,2017-45 to 54 years-Female,45 to 54 years,2017,Female,19100,48790,57530
210,2003,Annual,8.39,0.055,All days,55 to 64 years,Sleeping,Female,2003-55 to 64 years-Female,55 to 64 years,2003,Female,13420,27910,42430
211,2004,Annual,8.3,0.073,All days,55 to 64 years,Sleeping,Female,2004-55 to 64 years-Female,55 to 64 years,2004,Female,14080,28230,41870
212,2005,Annual,8.35,0.069,All days,55 to 64 years,Sleeping,Female,2005-55 to 64 years-Female,55 to 64 years,2005,Female,14640,30890,44530
213,2006,Annual,8.47,0.083,All days,55 to 64 years,Sleeping,Female,2006-55 to 64 years-Female,55 to 64 years,2006,Female,15070,33290,46630
214,2007,Annual,8.2,0.081,All days,55 to 64 years,Sleeping,Female,2007-55 to 64 years-Female,55 to 64 years,2007,Female,15600,33390,45610
215,2008,Annual,8.29,0.084,All days,55 to 64 years,Sleeping,Female,2008-55 to 64 years-Female,55 to 64 years,2008,Female,16140,34050,44860
216,2009,Annual,8.49,0.072,All days,55 to 64 years,Sleeping,Female,2009-55 to 64 years-Female,55 to 64 years,2009,Female,16690,34850,46100
217,2010,Annual,8.49,0.074,All days,55 to 64 years,Sleeping,Female,2010-55 to 64 years-Female,55 to 64 years,2010,Female,17630,34100,44490
218,2011,Annual,8.54,0.076,All days,55 to 64 years,Sleeping,Female,2011-55 to 64 years-Female,55 to 64 years,2011,Female,17870,36860,46650
219,2012,Annual,8.61,0.073,All days,55 to 64 years,Sleeping,Female,2012-55 to 64 years-Female,55 to 64 years,2012,Female,18100,38200,47430
220,2013,Annual,8.46,0.08,All days,55 to 64 years,Sleeping,Female,2013-55 to 64 years-Female,55 to 64 years,2013,Female,18840,39500,48460
221,2014,Annual,8.51,0.065,All days,55 to 64 years,Sleeping,Female,2014-55 to 64 years-Female,55 to 64 years,2014,Female,19000,37790,45710
222,2015,Annual,8.63,0.088,All days,55 to 64 years,Sleeping,Female,2015-55 to 64 years-Female,55 to 64 years,2015,Female,19480,39460,47770
223,2016,Annual,8.61,0.078,All days,55 to 64 years,Sleeping,Female,2016-55 to 64 years-Female,55 to 64 years,2016,Female,19710,43370,52040
224,2017,Annual,8.51,0.086,All days,55 to 64 years,Sleeping,Female,2017-55 to 64 years-Female,55 to 64 years,2017,Female,19750,44990,53050
225,2003,Annual,8.84,0.049,All days,65 years and over,Sleeping,Female,2003-65 years and over-Female,65 years and over,2003,Female,19230,16820,25570
226,2003,Annual,8.84,0.049,All days,65 years and over,Sleeping,Female,2003-65 years and over-Female,65 years and over,2003,Female,9521,18330,27870
227,2003,Annual,8.84,0.049,All days,65 years and over,Sleeping,Female,2003-65 years and over-Female,65 years and over,2003,Female,9704,15340,23320
228,2004,Annual,8.93,0.054,All days,65 years and over,Sleeping,Female,2004-65 years and over-Female,65 years and over,2004,Female,19350,17260,25600
229,2004,Annual,8.93,0.054,All days,65 years and over,Sleeping,Female,2004-65 years and over-Female,65 years and over,2004,Female,9526,19280,28590
230,2004,Annual,8.93,0.054,All days,65 years and over,Sleeping,Female,2004-65 years and over-Female,65 years and over,2004,Female,9824,15300,22690
231,2005,Annual,8.95,0.07,All days,65 years and over,Sleeping,Female,2005-65 years and over-Female,65 years and over,2005,Female,19600,18200,26230
232,2005,Annual,8.95,0.07,All days,65 years and over,Sleeping,Female,2005-65 years and over-Female,65 years and over,2005,Female,9625,19890,28680
233,2005,Annual,8.95,0.07,All days,65 years and over,Sleeping,Female,2005-65 years and over-Female,65 years and over,2005,Female,9973,16560,23870
234,2006,Annual,8.82,0.071,All days,65 years and over,Sleeping,Female,2006-65 years and over-Female,65 years and over,2006,Female,19760,19770,27700
235,2006,Annual,8.82,0.071,All days,65 years and over,Sleeping,Female,2006-65 years and over-Female,65 years and over,2006,Female,9781,21590,30240
236,2006,Annual,8.82,0.071,All days,65 years and over,Sleeping,Female,2006-65 years and over-Female,65 years and over,2006,Female,9975,17990,25200
237,2007,Annual,8.91,0.071,All days,65 years and over,Sleeping,Female,2007-65 years and over-Female,65 years and over,2007,Female,20170,21050,28740
238,2007,Annual,8.91,0.071,All days,65 years and over,Sleeping,Female,2007-65 years and over-Female,65 years and over,2007,Female,10140,23280,31790
239,2007,Annual,8.91,0.071,All days,65 years and over,Sleeping,Female,2007-65 years and over-Female,65 years and over,2007,Female,10030,18790,25660
240,2008,Annual,8.94,0.07,All days,65 years and over,Sleeping,Female,2008-65 years and over-Female,65 years and over,2008,Female,20590,21580,28440
241,2008,Annual,8.94,0.07,All days,65 years and over,Sleeping,Female,2008-65 years and over-Female,65 years and over,2008,Female,10510,23480,30930
242,2008,Annual,8.94,0.07,All days,65 years and over,Sleeping,Female,2008-65 years and over-Female,65 years and over,2008,Female,10080,19600,25830
243,2009,Annual,8.96,0.067,All days,65 years and over,Sleeping,Female,2009-65 years and over-Female,65 years and over,2009,Female,20900,22630,29930
244,2009,Annual,8.96,0.067,All days,65 years and over,Sleeping,Female,2009-65 years and over-Female,65 years and over,2009,Female,10730,25230,33380
245,2009,Annual,8.96,0.067,All days,65 years and over,Sleeping,Female,2009-65 years and over-Female,65 years and over,2009,Female,10170,19880,26290
246,2010,Annual,9.04,0.072,All days,65 years and over,Sleeping,Female,2010-65 years and over-Female,65 years and over,2010,Female,21500,22620,29520
247,2010,Annual,9.04,0.072,All days,65 years and over,Sleeping,Female,2010-65 years and over-Female,65 years and over,2010,Female,11240,25590,33400
248,2010,Annual,9.04,0.072,All days,65 years and over,Sleeping,Female,2010-65 years and over-Female,65 years and over,2010,Female,10260,19360,25270
249,2011,Annual,9.09,0.069,All days,65 years and over,Sleeping,Female,2011-65 years and over-Female,65 years and over,2011,Female,22280,22960,29060
250,2011,Annual,9.09,0.069,All days,65 years and over,Sleeping,Female,2011-65 years and over-Female,65 years and over,2011,Female,11890,25770,32620
251,2011,Annual,9.09,0.069,All days,65 years and over,Sleeping,Female,2011-65 years and over-Female,65 years and over,2011,Female,10390,19740,24980
252,2012,Annual,8.87,0.068,All days,65 years and over,Sleeping,Female,2012-65 years and over-Female,65 years and over,2012,Female,23050,23600,29310
253,2012,Annual,8.87,0.068,All days,65 years and over,Sleeping,Female,2012-65 years and over-Female,65 years and over,2012,Female,12540,26780,33250
254,2012,Annual,8.87,0.068,All days,65 years and over,Sleeping,Female,2012-65 years and over-Female,65 years and over,2012,Female,10510,19810,24590
255,2013,Annual,8.9,0.063,All days,65 years and over,Sleeping,Female,2013-65 years and over-Female,65 years and over,2013,Female,23790,26980,33100
256,2013,Annual,8.9,0.063,All days,65 years and over,Sleeping,Female,2013-65 years and over-Female,65 years and over,2013,Female,13120,30490,37400
257,2013,Annual,8.9,0.063,All days,65 years and over,Sleeping,Female,2013-65 years and over-Female,65 years and over,2013,Female,10670,22670,27810
258,2014,Annual,9.02,0.066,All days,65 years and over,Sleeping,Female,2014-65 years and over-Female,65 years and over,2014,Female,24480,26170,31660
259,2014,Annual,9.02,0.066,All days,65 years and over,Sleeping,Female,2014-65 years and over-Female,65 years and over,2014,Female,13750,29530,35720
260,2014,Annual,9.02,0.066,All days,65 years and over,Sleeping,Female,2014-65 years and over-Female,65 years and over,2014,Female,10730,21860,26450
261,2015,Annual,8.97,0.059,All days,65 years and over,Sleeping,Female,2015-65 years and over-Female,65 years and over,2015,Female,25270,27550,33350
262,2015,Annual,8.97,0.059,All days,65 years and over,Sleeping,Female,2015-65 years and over-Female,65 years and over,2015,Female,14290,30520,36940
263,2015,Annual,8.97,0.059,All days,65 years and over,Sleeping,Female,2015-65 years and over-Female,65 years and over,2015,Female,10980,23680,28670
264,2016,Annual,8.97,0.054,All days,65 years and over,Sleeping,Female,2016-65 years and over-Female,65 years and over,2016,Female,25900,28540,34240
265,2016,Annual,8.97,0.054,All days,65 years and over,Sleeping,Female,2016-65 years and over-Female,65 years and over,2016,Female,14810,31700,38040
266,2016,Annual,8.97,0.054,All days,65 years and over,Sleeping,Female,2016-65 years and over-Female,65 years and over,2016,Female,11080,24310,29170
267,2017,Annual,8.91,0.072,All days,65 years and over,Sleeping,Female,2017-65 years and over-Female,65 years and over,2017,Female,26760,30570,36040
268,2017,Annual,8.91,0.072,All days,65 years and over,Sleeping,Female,2017-65 years and over-Female,65 years and over,2017,Female,15310,34140,40250
269,2017,Annual,8.91,0.072,All days,65 years and over,Sleeping,Female,2017-65 years and over-Female,65 years and over,2017,Female,11450,25790,30410
